"canonical_form_id","court_type","catalogue_form_number","catalogue_official_title","catalogue_procedure_stage","research_status","research_reason","official_form_number","official_title","official_source_url","form_issuing_body","official_version_date","official_effective_from","checked_at","governing_authority_citation","governing_authority_pinpoint","procedural_applicability_status","source_http_status","resume_state","procedural_classification","minimum_new_form_applicability_fact"
"3949647e-4fa3-4287-abbc-48db14684cff","civil","Form 23B","Notice of Election to Proceed with Counterclaim","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","23B","Notice of Election to Proceed with Counterclaim","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/23b/","Ontario Ministry of the Attorney General, Ontario Court Services","July 1, 2007","July 1, 2008","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"11e57d83-ca3e-42a3-a4f4-d4de6848a449","civil","Form 23C","Notice of Withdrawal of Defence","responding","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","23C","Notice of Withdrawal of Defence","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/23c/","Ontario Ministry of the Attorney General, Ontario Court Services","July 1, 2007","July 1, 2008","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"92121753-d5a5-45e5-9cb6-21b837de7c13","civil","Form 27A","Counterclaim (Against Parties to Main Action Only)","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","27A","Counterclaim (Against Parties to Main Action Only)","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/27a/","Ontario Ministry of the Attorney General, Ontario Court Services","July 1, 2007","July 1, 2008","2026-08-11","O. Reg. 194, Rules of Civil Procedure","rr. 27.01–27.02","The Rule supports the exact counterclaim posture, but the live catalogue stage remains starting-case and requires the separately approved stage repair before routing.","200","complete-catalogue-provenance","needs-new-structured-posture","formApplicability.civil.pleadingPosture=counterclaim-existing-parties"
"a4c3343d-1ed5-4da3-b247-8460b5d27b3c","civil","Form 27B","Counterclaim (Against Plaintiff and Person not Already Party to Main Action)","starting-case","ambiguous-official-identity","Official page form number matched, but the page title does not exactly match the catalogue title.","27B","Counterclaim (Against Plaintiff and Person not Already Party to","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/27b/","Ontario Ministry of the Attorney General, Ontario Court Services","July 1, 2007","July 1, 2008","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","200","needs-manual-official-page-resolution","",""
"8135da24-53f9-4360-a7c4-81d66fe8530a","civil","Form 27C","Defence to Counterclaim","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","27C","Defence to Counterclaim","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/27c/","Ontario Ministry of the Attorney General, Ontario Court Services","July 1, 2007","July 1, 2008","2026-08-11","O. Reg. 194, Rules of Civil Procedure","r. 27.05","The Rule supports this response posture, but the live catalogue stage remains starting-case and requires the separately approved stage repair before routing.","200","complete-catalogue-provenance","needs-new-structured-posture","formApplicability.civil.pleadingPosture=defence-to-counterclaim"
"a73f2f4c-8dc7-4bb6-a10b-a50e17a7d185","civil","Form 27D","Reply to Defence to Counterclaim","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","27D","Reply to Defence to Counterclaim","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/27d/","Ontario Ministry of the Attorney General, Ontario Court Services","July 1, 2007","July 1, 2008","2026-08-11","O. Reg. 194, Rules of Civil Procedure","r. 27.06","The Rule supports this optional reply posture, but the live catalogue stage remains starting-case and requires the separately approved stage repair before routing.","200","complete-catalogue-provenance","needs-new-structured-posture","formApplicability.civil.pleadingPosture=reply-to-defence-to-counterclaim"
"ce2bebe1-9c12-469f-bcca-ebb4d7968216","civil","Form 28A","Crossclaim","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","28A","Crossclaim","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/28a/","Ontario Ministry of the Attorney General, Ontario Court Services","July 1, 2007","July 1, 2008","2026-08-11","O. Reg. 194, Rules of Civil Procedure","rr. 28.01–28.02","The Rule supports the exact crossclaim posture, but the live catalogue stage remains starting-case and requires the separately approved stage repair before routing.","200","complete-catalogue-provenance","needs-new-structured-posture","formApplicability.civil.pleadingPosture=crossclaim"
"b2cc9170-cb22-4087-843e-1b4ca4eb2620","civil","Form 28C","Reply to Defence to Crossclaim","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","28C","Reply to Defence to Crossclaim","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/28c/","Ontario Ministry of the Attorney General, Ontario Court Services","July 1, 2007","July 1, 2008","2026-08-11","O. Reg. 194, Rules of Civil Procedure","r. 28.08","The Rule supports this optional reply posture, but the live catalogue stage remains starting-case and requires the separately approved stage repair before routing.","200","complete-catalogue-provenance","needs-new-structured-posture","formApplicability.civil.pleadingPosture=reply-to-defence-to-crossclaim"
"79f07cdf-6f02-4857-8402-1b77addfa7f6","civil","Form 29C","Reply to Third Party Defence","responding","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","29C","Reply to Third Party Defence","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/29c/","Ontario Ministry of the Attorney General, Ontario Court Services","July 1, 2007","July 1, 2008","2026-08-11","O. Reg. 194, Rules of Civil Procedure","r. 29.04","The Rule supports this optional reply posture; the current responding stage is compatible, subject to separate fail-closed mapping work.","200","complete-catalogue-provenance","needs-new-structured-posture","formApplicability.civil.pleadingPosture=reply-to-third-party-defence"
"8e353c49-1539-4dda-a00e-5ed2faa37b8a","civil","Form 35A","Questions on Written Examination for Discovery","enforcement","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","35A","Questions on Written Examination for Discovery","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/35a/","Ontario Ministry of the Attorney General, Ontario Court Services","July 1, 2007","July 1, 2008","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"8227350b-fc15-4d4c-937e-08acee4aae7d","civil","Form 35B","Answers on Written Examination for Discovery","responding","unavailable-official-page","No current official page was returned at the deterministic official-form URL; do not infer an alternate source.","","","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/35b/","","","","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","404","needs-manual-official-page-resolution","",""
"c73b28fc-4028-40da-ba11-654fd891391d","civil","Form 37B","Confirmation of Motion","motion","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","37B","Confirmation of Motion","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/37b/","Ontario Ministry of the Attorney General, Ontario Court Services","May 15, 2024","July 23, 2024","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"b07feae4-9364-4983-a4a2-8d7230714e03","civil","Form 38B","Confirmation of Application","starting-case","unavailable-official-page","No current official page was returned at the deterministic official-form URL; do not infer an alternate source.","","","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/38b/","","","","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","404","needs-manual-official-page-resolution","",""
"3f53c226-4f36-4598-8bd4-a0fb2282495b","civil","Form 4B","General Heading of Documents - Applications","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","4B","General Heading of Documents - Applications","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/4b/","Ontario Ministry of the Attorney General, Ontario Court Services","April 11, 2012","July 1, 2012","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"c82597ea-9d36-467c-8cc6-c79bc51f8573","civil","Form 55D","Notice of Contested Claim","starting-case","unavailable-official-page","No current official page was returned at the deterministic official-form URL; do not infer an alternate source.","","","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/55d/","","","","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","404","needs-manual-official-page-resolution","",""
"2b66a032-d2df-481f-a72d-debd2fc6c42c","civil","Form 60A","Writ of Seizure and Sale","enforcement","unavailable-official-page","No current official page was returned at the deterministic official-form URL; do not infer an alternate source.","","","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/60a/","","","","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","404","needs-manual-official-page-resolution","",""
"e461b35a-1a7b-4498-bb16-ef1254bbea20","civil","Form 60B","Writ of Sequestration","enforcement","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","60B","Writ of Sequestration","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/60b/","Ontario Ministry of the Attorney General, Ontario Court Services","Nov. 1, 2005","July 1, 2006","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"500ce284-1e31-4878-aca6-267276327337","civil","Form 60C","Writ of Possession","enforcement","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","60C","Writ of Possession","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/60c/","Ontario Ministry of the Attorney General, Ontario Court Services","Nov. 1, 2005","July 1, 2006","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"2571b607-c4b3-40ac-aa75-1a1555a4546b","civil","Form 60D","Writ of Delivery","enforcement","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","60D","Writ of Delivery","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/60d/","Ontario Ministry of the Attorney General, Ontario Court Services","Nov. 1, 2005","July 1, 2006","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"9867c8bd-e49c-4d5e-b869-ef5a58b9fac6","civil","Form 60F","Direction to Enforce Writ of Seizure and Sale","enforcement","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","60F","Direction to Enforce Writ of Seizure and Sale","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/60f/","Ontario Ministry of the Attorney General, Ontario Court Services","Nov. 1, 2005","July 1, 2006","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"efba4c31-f322-49c0-b5a9-05057aad8a45","civil","Form 60G","Requisition for Garnishment","enforcement","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","60G","Requisition for Garnishment","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/60g/","Ontario Ministry of the Attorney General, Ontario Court Services","Nov. 1, 2005","July 1, 2006","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"22de7fee-6fcf-4928-904e-35b936ca1ae0","civil","Form 60G.1","Requisition for Renewal of Garnishment","enforcement","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","60G.1","Requisition for Renewal of Garnishment","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/60g1/","Ontario Ministry of the Attorney General, Ontario Court Services","Nov. 1, 2005","July 1, 2006","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"90b1aa48-e9f4-4586-a851-124e92480851","civil","Form 60H","Notice of Garnishment","enforcement","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","60H","Notice of Garnishment","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/60h/","Ontario Ministry of the Attorney General, Ontario Court Services","May 1, 2025","Oct. 6, 2025","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"fa6c818b-6ae2-4355-bc4d-02a205df6159","civil","Form 60H.1","Notice of Renewal of Garnishment","enforcement","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","60H.1","Notice of Renewal of Garnishment","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/60h1/","Ontario Ministry of the Attorney General, Ontario Court Services","May 1, 2025","Oct. 6, 2025","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"13004567-8c28-4f93-b0b7-6ed1ce57a60b","civil","Form 60J","Notice of Termination of Garnishment","enforcement","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","60J","Notice of Termination of Garnishment","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/60j/","Ontario Ministry of the Attorney General, Ontario Court Services","July 1, 2007","July 1, 2008","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"e392115c-9d63-4e94-9c57-72fb3a43766b","civil","Form 60M","Notice of Claim","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","60M","Notice of Claim","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/60m/","Ontario Ministry of the Attorney General, Ontario Court Services","July 1, 2007","July 1, 2008","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"effe25c6-bbbb-4269-90fa-d5c4e130f053","civil","Form 60O","Request to Withdraw a Writ","enforcement","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","60O","Request to Withdraw a Writ","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/60o/","Ontario Ministry of the Attorney General, Ontario Court Services","Nov. 1, 2005","July 1, 2006","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"d6ec9d83-268a-4703-ba7f-e712b8cb071d","civil","Form 61A","Notice of Motion for Leave to Appeal to the Divisional Court","motion","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","61A","Notice of Motion for Leave to Appeal to the Divisional Court","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/61a/","Ontario Ministry of the Attorney General, Ontario Court Services","Sept. 1, 2025","Feb. 1, 2026","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"bf4b4197-a90a-4eb6-aab1-b5d35fce1fa2","civil","Form 61A.1","Notice of Motion for Leave to Appeal to the Court of Appeal","motion","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","61A.1","Notice of Motion for Leave to Appeal to the Court of Appeal","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/61a1/","Ontario Ministry of the Attorney General, Ontario Court Services","Sept. 1, 2025","Feb. 1, 2026","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"f02b0115-ab96-47df-bfde-6534e8566ab3","civil","Form 61J","1 Order Dismissing Motion for Delay","motion","ambiguous-official-identity","Official page form number matched, but the page title does not exactly match the catalogue title.","61J","Order Dismissing Motion for Leave to Appeal for Delay","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/61j/","Ontario Ministry of the Attorney General, Ontario Court Services","July 30, 2009","Jan. 1, 2010","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","200","needs-manual-official-page-resolution","",""
"d0454ad7-81cd-4bbe-8d73-7b5aa35df5bd","civil","Form 61J","Order Dismissing Motion for Leave to Appeal for Delay","motion","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","61J","Order Dismissing Motion for Leave to Appeal for Delay","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/61j/","Ontario Ministry of the Attorney General, Ontario Court Services","July 30, 2009","Jan. 1, 2010","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"daf06a57-2927-4282-88c1-2bf22117b053","civil","Form 61M","Notice of Motion Before a Single Judge â€“ Court of Appeal","motion","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","61M","Notice of Motion Before a Single Judge â€“ Court of Appeal","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/61m/","Ontario Ministry of the Attorney General, Ontario Court Services","Sept. 1, 2025","Feb. 1, 2026","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"3518dab9-d554-4b7e-be13-df023287cb2b","civil","Form 61N","Notice of Motion Before a Single Judge â€“ Divisional Court","motion","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","61N","Notice of Motion Before a Single Judge â€“ Divisional Court","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/61n/","Ontario Ministry of the Attorney General, Ontario Court Services","Sept. 1, 2025","Feb. 1, 2026","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"b97d993e-73cc-41dc-9580-e0b46dc14578","civil","Form 61O","Notice of Motion Before a Panel â€“ Court of Appeal","motion","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","61O","Notice of Motion Before a Panel â€“ Court of Appeal","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/61o/","Ontario Ministry of the Attorney General, Ontario Court Services","Sept. 1, 2025","Feb. 1, 2026","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"51933f0a-e122-492e-a713-fee2b0df167a","civil","Form 61P","Notice of Motion Before a Panel â€“ Divisional Court","motion","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","61P","Notice of Motion Before a Panel â€“ Divisional Court","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/61p/","Ontario Ministry of the Attorney General, Ontario Court Services","Sept. 1, 2025","Feb. 1, 2026","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"e64c1799-9916-454a-87fb-3e1aec0d697c","civil","Form 64I","Default Judgment for Sale Conditional on Proof of Claim (Action Converted from Foreclosure to Sale)","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","64I","Default Judgment for Sale Conditional on Proof of Claim (Action Converted from Foreclosure to Sale)","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/64i/","Ontario Ministry of the Attorney General, Ontario Court Services","April 1, 2021","Sept. 1, 2021","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"738a5e9a-90e0-440f-a181-141767765e3b","civil","Form 68A","Notice of Application to Divisional Court for Judicial Review","starting-case","unavailable-official-page","No current official page was returned at the deterministic official-form URL; do not infer an alternate source.","","","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/68a/","","","","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","404","needs-manual-official-page-resolution","",""
"846c9829-7a90-4434-9107-7c212298bf17","civil","Form 68C","Order Dismissing Application for Judicial Review","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","68C","Order Dismissing Application for Judicial Review","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/68c/","Ontario Ministry of the Attorney General, Ontario Court Services","July 30, 2009","Jan. 1, 2010","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"2b78492e-d841-48f9-8955-e06ad9588513","civil","Form 68D","Order Dismissing Application for Judicial Review for Delay","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","68D","Order Dismissing Application for Judicial Review for Delay","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/68d/","Ontario Ministry of the Attorney General, Ontario Court Services","Sept. 1, 2018","Dec. 21, 2018","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"f372c898-ec39-45d7-9264-3b4c40b7bdf2","civil","Form 72B","Affidavit (Motion for Payment Out of Court)","motion","unavailable-official-page","No current official page was returned at the deterministic official-form URL; do not infer an alternate source.","","","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/72b/","","","","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","404","needs-manual-official-page-resolution","",""
"ab004be1-0b5c-4a4f-b71d-3a5ffa9a8062","civil","Form 73A","Notice of Application for Registration of United Kingdom Judgment","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","73A","Notice of Application for Registration of United Kingdom Judgment","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/73a/","Ontario Ministry of the Attorney General, Ontario Court Services","Jan. 2, 2024","March 11, 2024","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"6e0e4dfb-8bdd-48ff-b93d-93cdd614b813","civil","Form 76B","Simplified Procedure Motion Form","motion","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","76B","Simplified Procedure Motion Form","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/76b/","Ontario Ministry of the Attorney General, Ontario Court Services","Jan. 2, 2024","March 11, 2024","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
